# Bundled fallback quotes for the Desktop Quote plugin.
#
# This file is only used when ~/.config/omarchy/quotes.txt does not exist.
# To use your own, create that file with the same format:
#
#     quote text | Attribution        (attribution is optional)
#     # lines starting with a hash, and blank lines, are ignored
#
# It hot-reloads on save.
#
# All quotes below are verified against episode-cited sources (Wikiquote +
# cross-checked individually) — no invented/paraphrased lines. Two carry
# profanity (Helly R., Irving B.) by choice, not oversight.

The work is mysterious and important.
The remembered man does not decay. | Kier Eagan
Keep a merry humor ever in your heart. | Kier Eagan
Be ever merry. | Kier Eagan
Praise Kier. | Lumon Industries
Devour feculence. | Kier Eagan
Let not weakness live in your veins, cherished workers. | Kier Eagan
The surest way to tame a prisoner is to let him believe he's free. | Harmony Cobel
You don't value me. You fear me. | Harmony Cobel
A handshake is available upon request. | Seth Milchick
Marshmallows are for team players, Dylan. They don't just hand them out. | Seth Milchick
I could not, with a razor to my throat, be less interested in being your family. | Helly R.
No, no, no. I don't want her memory. I want my own. | Helly R.
It's important because it actually is or because you're saying it is? | Helly R.
Did everyone sever their balls in the elevator this morning? | Helly R.
Let's burn this place to the ground. | Irving B.
Dylan. I'm your favorite perk. | Irving B.
She's a fucking mole! | Irving B.
Bullies are nothing but Bull and Lies. | Ricken Hale
Remember, they can't crucify you if your hand is in a fist. | Ricken Hale
We are on the verge of a revolution. A kind and empathetic revolution. | Natalie Kalen
Every time you find yourself here, it's because you chose to come back. | Lumon Industries
Your outie is a wonderful person. You should be proud. | Lumon Industries
